Course_Code,Section,Course_Name,Status,Instructor,Room,Days,Time
HHPL 148,1,Spt Governance,Open,Aaron Livingston,N/A,"Monday, Wednesday, Friday",12:10 PM - 1:00 PM
HHPL 149,1,Facilities & Event Management,Open,Robert Lyons,BUR-2011,"Tuesday, Thursday",9:40 AM - 11:00 AM
HHPL 150,1,Mgmt & Leadership in Sport,Open,Jason Perry,BUR-2011,"Monday, Wednesday, Friday",2:10 PM - 3:00 PM
HHPL 151,1,Sport Management Internship,Open,Edgar Jackson,N/A,Saturday,8:10 AM - 2:00 PM
HHPL 152,2,Meth & Materials of Hlth Ed,Closed,Deneen Long,N/A,"Monday, Wednesday, Friday",9:10 AM - 10:00 AM
HHPL 152,3,Meth & Materials of Hlth Ed,Closed,Deneen Long,N/A,"Monday, Wednesday, Friday",10:10 AM - 11:00 AM
HHPL 153,1,Human Sexuality,Open,Litonya Livingston,N/A,"Monday, Wednesday",4:10 PM - 5:30 PM
HHPL 157,1,Health Prob of Child & Youth,Closed,Valora Bishop,BUR-2013,"Tuesday, Thursday",3:40 PM - 5:00 PM
HHPL 159,8,Health Science,Open,Lanice Williams,N/A,Thursday,5:40 PM - 7:20 PM
HHPL 159,9,Health Science,Open,Lanice Williams,N/A,Wednesday,5:40 PM - 7:20 PM
HHPL 159,10,Health Science,Waitlist,N/A,N/A,"Monday, Wednesday",9:10 AM - 10:00 AM
HHPL 159,11,Health Science,Waitlist,N/A,BUR-2013,Monday,5:10 PM - 7:00 PM
HHPL 159,12,Health Science,Waitlist,N/A,N/A,"Tuesday, Thursday",9:10 AM - 10:00 AM
HHPL 159,16,Health Science,Open,N/A,N/A,Friday,5:10 PM - 7:00 PM
HHPL 159,17,Health Science,Open,N/A,BUR-2013,Thursday,5:10 PM - 7:00 PM
HHPL 160,1,Women's Health,Closed,Phronie Jackson,N/A,"Tuesday, Thursday",4:10 PM - 5:00 PM
HHPL 160,3,Women's Health,Closed,Lanice Williams,N/A,Tuesday,6:10 PM - 8:00 PM
HHPL 162,1,Men's Health,Waitlist,James Bridgers,N/A,"Monday, Wednesday",7:10 PM - 8:00 PM
HHPL 162,2,Men's Health,Waitlist,James Bridgers,N/A,"Monday, Wednesday",8:10 PM - 9:00 PM
HHPL 162,3,Men's Health,Waitlist,James Bridgers,N/A,"Tuesday, Thursday",7:10 PM - 8:00 PM
HHPL 162,4,Men's Health,Waitlist,James Bridgers,N/A,"Tuesday, Thursday",8:10 PM - 9:00 PM
HHPL 163,1,Foundation of Health Promotion,Open,Phronie Jackson,N/A,"Tuesday, Thursday",2:10 PM - 3:30 PM
HHPL 165,1,"Hlth of Wmn, Child & Families",Closed,Valora Bishop,BUR-2011,"Tuesday, Thursday",12:40 PM - 2:00 PM
HHPL 167,1,MCH-Institute,Closed,Valora Bishop,LKH-B21,"Tuesday, Thursday",11:10 AM - 12:30 PM
HHPL 167,2,MCH-Institute,Open,Valora Bishop,BUR-2011,Saturday,10:00 AM - 12:30 PM
HHPL 175,3,Controlling Stress & Tension,Closed,Litonya Livingston,N/A,Monday,5:40 PM - 7:20 PM
HHPL 175,4,Controlling Stress & Tension,Closed,Litonya Livingston,N/A,Tuesday,5:40 PM - 7:20 PM
HHPL 193,1,Direct Rdgs Honors for Soph,Open,Edgar Jackson,N/A,Monday,4:10 PM - 5:00 PM
HHPL 194,1,Direct Rdgs HUPF for Seniors,Open,Seanta Cleveland,N/A,N/A,N/A
HHPL 221,1,Budget & Fin-Leisure & Sport,Open,Robert Lyons,BUR-2011,"Tuesday, Thursday",11:10 AM - 12:30 PM
